datetime,open_luna,high_luna,low_luna,close_luna,open_ust,high_ust,low_ust,close_ust,open_btc,high_btc,low_btc,close_btc,open_eth,high_eth,low_eth,close_eth,open_usdt,high_usdt,low_usdt,close_usdt,open_usdc,high_usdc,low_usdc,close_usdc,open_busd,high_busd,low_busd,close_busd
2022-05-14 00:00:00,5e-05,5e-05,5e-05,5e-05,0.15283,0.15393,0.15283,0.15322,29525.78906,29531.90039,29498.89062,29517.88086,2051.87988,2051.87988,2051.87988,2051.87988,0.9982,0.9982,0.9981,0.9982,1.0019,1.0019,1.0019,1.0019,1.002,1.002,1.002,1.002
2022-05-13 23:59:00,5e-05,5e-05,5e-05,5e-05,0.15286,0.15364,0.15283,0.15283,29503.61914,29531.90039,29503.61914,29531.90039,2055.43994,2055.43994,2054.3999,2054.3999,0.9982,0.9982,0.998,0.9981,1.0019,1.0019,1.0019,1.0019,1.002,1.002,1.002,1.002
2022-05-13 23:58:00,5e-05,5e-05,5e-05,5e-05,0.15611,0.15611,0.15286,0.15496,29490.38086,29513.99023,29470.86914,29511.14062,2053.97998,2055.29004,2053.97998,2055.29004,0.9981,0.9982,0.9981,0.9982,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019,1.0019
2022-05-13 23:57:00,5e-05,5e-05,5e-05,5e-05,0.15851,0.15851,0.15559,0.15611,29499.14062,29499.14062,29470.86914,29484.91992,2053.43994,2053.43994,2053.43994,2053.43994,0.9981,0.9981,0.998,0.9981,1.0019,1.0019,1.0019,1.0019,1.002,1.002,1.002,1.002
2022-05-13 23:56:00,5e-05,5e-05,5e-05,5e-05,0.1576,0.15943,0.15572,0.15779,29494.9707,29508.06055,29494.9707,29497.94922,2054.20996,2054.20996,2053.73999,2053.73999,0.998,0.9981,0.998,0.9981,1.002,1.002,1.0019,1.0019,1.002,1.002,1.002,1.002
2022-05-13 23:55:00,5e-05,5e-05,5e-05,5e-05,0.155,0.15871,0.155,0.15845,29447.5,29520.65039,29447.5,29508.06055,2054.32007,2054.32007,2054.32007,2054.32007,0.9981,0.9981,0.998,0.998,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002
2022-05-13 23:54:00,5e-05,5e-05,5e-05,5e-05,0.15388,0.15587,0.15165,0.15587,29462.25977,29478.80078,29443.64062,29457.00977,2048.08008,2048.08008,2045.64001,2045.64001,0.9981,0.9981,0.998,0.9981,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002
2022-05-13 23:53:00,5e-05,5e-05,5e-05,5e-05,0.158,0.158,0.15165,0.15326,29506.56055,29531.17969,29462.80078,29478.80078,2049.22998,2049.22998,2049.22998,2049.22998,0.9981,0.9981,0.998,0.998,1.002,1.002,1.002,1.002,1.002,1.002,1.0019,1.0019
2022-05-13 23:52:00,5e-05,5e-05,5e-05,5e-05,0.1595,0.1595,0.1555,0.1568,29528.90039,29531.90039,29514.16016,29531.90039,2053.32007,2053.32007,2049.83008,2049.83008,0.9981,0.9981,0.9981,0.9981,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002
2022-05-13 23:51:00,5e-05,5e-05,5e-05,5e-05,0.1555,0.15691,0.1555,0.15581,29495.03906,29528.90039,29482.0293,29514.16016,2054.34009,2054.34009,2054.34009,2054.34009,0.9981,0.9981,0.9981,0.9981,1.002,1.002,1.0019,1.0019,1.002,1.002,1.002,1.002
2022-05-13 23:50:00,5e-05,5e-05,5e-05,5e-05,0.1562,0.16,0.1562,0.15691,29495.81055,29498.64062,29482.0293,29490.44922,2050.57007,2052.36011,2050.57007,2052.36011,0.9981,0.9981,0.998,0.9981,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002
2022-05-13 23:49:00,5e-05,5e-05,5e-05,5e-05,0.15761,0.15993,0.15761,0.1589,29495.81055,29495.81055,29494.06055,29495.66992,2052.04004,2052.8501,2052.04004,2052.8501,0.998,0.9981,0.998,0.9981,1.002,1.002,1.0019,1.0019,1.002,1.002,1.002,1.002
2022-05-13 23:48:00,5e-05,5e-05,5e-05,5e-05,0.16182,0.16182,0.15919,0.15919,29500.0,29500.0,29465.19922,29497.42969,2050.58008,2050.58008,2050.58008,2050.58008,0.998,0.9981,0.998,0.9981,1.0019,1.0019,1.0019,1.0019,1.002,1.002,1.002,1.002
2022-05-13 23:47:00,5e-05,5e-05,5e-05,5e-05,0.16349,0.16399,0.161,0.161,29445.69922,29500.0,29445.69922,29465.19922,2047.96997,2050.94995,2047.96997,2050.94995,0.998,0.9981,0.998,0.998,1.0019,1.0019,1.0019,1.0019,1.0021,1.0021,1.0021,1.0021
2022-05-13 23:46:00,5e-05,5e-05,5e-05,5e-05,0.16388,0.16399,0.16349,0.16399,29464.9707,29464.98047,29445.69922,29455.43945,2047.68005,2047.68005,2047.68005,2047.68005,0.9981,0.9981,0.998,0.9981,1.0019,1.0019,1.0019,1.0019,1.0021,1.0021,1.0021,1.0021
2022-05-13 23:45:00,5e-05,5e-05,5e-05,5e-05,0.16216,0.16388,0.16216,0.16356,29462.50977,29466.7793,29459.89062,29466.75,2048.22998,2048.22998,2047.56006,2047.56006,0.998,0.9981,0.998,0.998,1.0019,1.002,1.0019,1.002,1.0021,1.0021,1.0021,1.0021
2022-05-13 23:44:00,5e-05,5e-05,5e-05,5e-05,0.16098,0.16216,0.16098,0.16194,29452.82031,29462.50977,29419.63086,29431.17969,2047.37,2047.37,2047.37,2047.37,0.998,0.9981,0.998,0.998,1.002,1.002,1.002,1.002,1.002,1.0021,1.002,1.0021
2022-05-13 23:43:00,5e-05,5e-05,5e-05,5e-05,0.16098,0.16098,0.16003,0.16003,29458.68945,29463.09961,29436.26953,29436.26953,2043.20996,2043.20996,2041.80005,2041.80005,0.998,0.9981,0.998,0.998,1.002,1.002,1.0019,1.0019,1.002,1.002,1.002,1.002
2022-05-13 23:42:00,5e-05,5e-05,5e-05,5e-05,0.15959,0.16062,0.15959,0.16056,29461.26953,29468.28906,29445.0,29460.65039,2044.06006,2044.06006,2044.06006,2044.06006,0.9982,0.9982,0.9981,0.9981,1.002,1.002,1.002,1.002,1.0021,1.0021,1.0021,1.0021
2022-05-13 23:41:00,5e-05,5e-05,5e-05,5e-05,0.15627,0.15959,0.15627,0.15821,29434.09961,29463.9707,29434.09961,29463.9707,2043.72998,2045.13,2043.72998,2045.13,0.9982,0.9982,0.998,0.998,1.0019,1.002,1.0019,1.002,1.0021,1.0021,1.0021,1.0021
2022-05-13 23:40:00,5e-05,5e-05,5e-05,5e-05,0.1608,0.1608,0.15627,0.15708,29455.64062,29458.18945,29419.5293,29438.31055,2042.44995,2042.44995,2042.44995,2042.44995,0.9981,0.9981,0.998,0.9981,1.002,1.002,1.002,1.002,1.0021,1.0021,1.0021,1.0021
2022-05-13 23:39:00,5e-05,5e-05,5e-05,5e-05,0.16229,0.16295,0.1608,0.1611,29474.41992,29474.41992,29433.07031,29433.07031,2041.78003,2041.78003,2041.26001,2041.26001,0.9981,0.9981,0.998,0.998,1.0019,1.0019,1.0019,1.0019,1.0021,1.0021,1.0021,1.0021
2022-05-13 23:38:00,5e-05,5e-05,5e-05,5e-05,0.16085,0.16358,0.16085,0.16295,29516.9707,29516.9707,29456.0293,29461.00977,2042.28003,2042.28003,2042.28003,2042.28003,0.9981,0.9981,0.998,0.998,1.0019,1.0019,1.0019,1.0019,1.002,1.0021,1.002,1.0021
2022-05-13 23:37:00,5e-05,5e-05,5e-05,5e-05,0.16381,0.16381,0.16085,0.16085,29483.91992,29516.9707,29481.38086,29513.94922,2047.46997,2047.46997,2043.25,2043.25,0.9981,0.9981,0.9981,0.9981,1.002,1.002,1.002,1.002,1.0021,1.0021,1.0021,1.0021
2022-05-13 23:36:00,5e-05,5e-05,5e-05,5e-05,0.16625,0.16625,0.16241,0.16241,29497.41992,29500.0,29481.38086,29481.38086,2045.15002,2045.15002,2045.15002,2045.15002,0.9981,0.9981,0.998,0.998,1.002,1.002,1.0019,1.0019,1.0021,1.0021,1.0021,1.0021
2022-05-13 23:35:00,5e-05,5e-05,5e-05,5e-05,0.1646,0.1665,0.1646,0.16625,29489.90039,29500.0,29480.32031,29498.38086,2045.33997,2045.33997,2045.16003,2045.16003,0.9981,0.9981,0.998,0.998,1.0019,1.0019,1.0019,1.0019,1.0021,1.0021,1.0021,1.0021
2022-05-13 23:34:00,5e-05,5e-05,5e-05,5e-05,0.16499,0.1665,0.16446,0.16589,29538.10938,29538.10938,29489.90039,29493.86914,2045.0,2045.0,2045.0,2045.0,0.998,0.9981,0.998,0.998,1.002,1.002,1.0019,1.0019,1.0021,1.0021,1.0021,1.0021
2022-05-13 23:33:00,5e-05,5e-05,5e-05,5e-05,0.165,0.165,0.1615,0.16406,29508.63086,29538.10938,29498.39062,29525.68945,2047.45996,2047.45996,2046.06006,2046.06006,0.998,0.9981,0.9979,0.998,1.002,1.002,1.002,1.002,1.0021,1.0021,1.0021,1.0021
2022-05-13 23:32:00,5e-05,5e-05,5e-05,5e-05,0.16149,0.1615,0.16149,0.1615,29479.75977,29508.63086,29478.01953,29503.34961,2046.23999,2046.5,2046.23999,2046.5,0.998,0.998,0.9979,0.9979,1.0019,1.002,1.0019,1.002,1.002,1.0021,1.002,1.0021
